time_val,temperature_k,temperature_c
2019-01-01,270.36578148500206,-2.7842185149979173
2019-01-02,272.43300533891824,-0.7169946610817419
2019-01-03,274.39701283844965,1.2470128384496775
2019-01-04,272.221602389155,-0.9283976108449679
2019-01-05,271.52140825452153,-1.6285917454784453
2019-01-06,273.2828250720644,0.1328250720644064
2019-01-07,273.4895627035939,0.33956270359391283
2019-01-08,269.9421827862986,-3.2078172137013894
2019-01-09,270.16727676800235,-2.9827232319976247
2019-01-10,272.9457939450294,-0.20420605497059796
2019-01-11,274.35969029258064,1.2096902925806603
2019-01-12,275.94339812538095,2.7933981253809748
2019-01-13,275.6826281807141,2.5326281807141413
2019-01-14,274.58313769137845,1.4331376913784766
2019-01-15,266.3160108277241,-6.833989172275892
2019-01-16,271.03993521590013,-2.1100647840998477
2019-01-17,275.36270322053576,2.2127032205357864
2019-01-18,277.57708279860555,4.427082798605568
2019-01-19,273.91319189457346,0.763191894573481
2019-01-20,273.6350718448416,0.48507184484162735
2019-01-21,276.4415809312705,3.2915809312705164
2019-01-22,279.551854071578,6.401854071578043
2019-01-23,281.57117455984024,8.421174559840267
2019-01-24,278.88953134378227,5.739531343782289
2019-01-25,272.812939098337,-0.3370609016629942
2019-01-26,274.13322415845516,0.9832241584551866
2019-01-27,276.9202791727725,3.7702791727725185
2019-01-28,276.6766153949623,3.5266153949623344
2019-01-29,278.12484604533097,4.974846045330992
2019-01-30,274.14160953436533,0.9916095343653524
2019-01-31,271.9443971077042,-1.205602892295758
2019-02-01,275.38609079625604,2.2360907962560646
2019-02-02,277.04923100813215,3.899231008132176
2019-02-03,277.50835320841855,4.358353208418578
2019-02-04,279.74395541061,6.593955410610022
2019-02-05,278.4236093659397,5.273609365939706
2019-02-06,270.7222971764246,-2.4277028235753733
2019-02-07,266.7725411845474,-6.377458815452599
2019-02-08,268.53078680538243,-4.619213194617544
2019-02-09,267.9109093258299,-5.239090674170086
2019-02-10,269.1925301799335,-3.9574698200664784
2019-02-11,273.58750389422426,0.43750389422427816
2019-02-12,272.8289780355324,-0.32102196446760445
2019-02-13,269.31096218006047,-3.839037819939506
2019-02-14,270.8625616461939,-2.287438353806067
2019-02-15,270.51104668804146,-2.6389533119585167
2019-02-16,271.5941628251453,-1.5558371748546733
2019-02-17,274.54050948947895,1.3905094894789727
2019-02-18,273.0753861181859,-0.07461388181405937
2019-02-19,274.9938381573183,1.8438381573183165
2019-02-20,276.7378133929681,3.587813392968144
2019-02-21,278.70368092133793,5.553680921337957
2019-02-22,279.55917221782687,6.409172217826892
2019-02-23,282.0213625232479,8.87136252324791
2019-02-24,282.809099982383,9.659099982382997
2019-02-25,282.74436488035684,9.594364880356864
2019-02-26,280.6206083466685,7.470608346668541
2019-02-27,280.86680298338985,7.716802983389869
2019-02-28,282.21526290656607,9.06526290656609
2019-03-01,283.6847466733324,10.53474667333245
2019-03-02,282.259080307231,9.109080307231011
2019-03-03,280.7854495909235,7.6354495909235425
2019-03-04,284.34877696858615,11.198776968586174
2019-03-05,284.91032272408023,11.760322724080254
2019-03-06,278.94603353127854,5.796033531278567
2019-03-07,280.2113105254263,7.061310525426336
2019-03-08,282.3810799036542,9.231079903654233
2019-03-09,284.01769183537834,10.867691835378366
2019-03-10,283.8341588259129,10.684158825912903
2019-03-11,284.26159955139696,11.111599551396978
2019-03-12,280.50153600874484,7.3515360087448585
2019-03-13,283.30838051020993,10.158380510209952
2019-03-14,285.2459207141414,12.095920714141414
2019-03-15,284.4102798893524,11.260279889352432
2019-03-16,289.02083399522354,15.870833995223563
2019-03-17,289.3844848792386,16.234484879238607
2019-03-18,290.3650249997546,17.215024999754633
2019-03-19,291.10629223020976,17.956292230209783
2019-03-20,288.4555986743291,15.305598674329133
2019-03-21,280.7666968411609,7.616696841160945
2019-03-22,282.00849478276047,8.858494782760488
2019-03-23,280.2495478395765,7.09954783957653
2019-03-24,286.06991348948446,12.919913489484486
2019-03-25,289.0716951116529,15.921695111652923
2019-03-26,292.1710825094154,19.021082509415407
2019-03-27,287.3502231757183,14.20022317571835
2019-03-28,280.95931654888545,7.8093165488854765
2019-03-29,283.73182674753326,10.581826747533285
2019-03-30,281.37270033511663,8.222700335116656
2019-03-31,283.69346746427885,10.543467464278876
2019-04-01,284.89224080439044,11.742240804390462
2019-04-02,285.9699293163597,12.819929316359719
2019-04-03,287.9093600414054,14.759360041405444
2019-04-04,291.221675002733,18.071675002733002
2019-04-05,293.14232248574007,19.99232248574009
2019-04-06,287.26155163700327,14.111551637003288
2019-04-07,290.25397213042856,17.103972130428588
2019-04-08,284.5259980769122,11.375998076912197
2019-04-09,278.3402739755311,5.190273975531113
2019-04-10,283.25169536905753,10.101695369057552
2019-04-11,284.1393255244893,10.989325524489345
2019-04-12,287.3213469903115,14.17134699031152
2019-04-13,288.78156110516267,15.631561105162689
2019-04-14,288.5796107609708,15.429610760970832
2019-04-15,290.3212685836418,17.171268583641847
2019-04-16,291.6768332071346,18.526833207134644
2019-04-17,296.44859997641237,23.29859997641239
2019-04-18,287.56540716771025,14.41540716771027
2019-04-19,287.4722227721416,14.322222772141629
2019-04-20,289.9175203566383,16.76752035663833
2019-04-21,290.01107065951925,16.86107065951927
2019-04-22,292.9764749963759,19.826474996375907
2019-04-23,293.1353092622516,19.985309262251633
2019-04-24,288.2681321612547,15.11813216125472
2019-04-25,281.72509956927416,8.575099569274187
2019-04-26,285.27058896545515,12.12058896545517
2019-04-27,282.8092829360392,9.659282936039233
2019-04-28,286.38206291927344,13.23206291927346
