time_val,ssr
2018-12-31,10358797.147732344
2019-01-01,10176570.165858708
2019-01-02,10497202.879203035
2019-01-03,10307600.04330118
2019-01-04,9469355.926682454
2019-01-05,10628666.630411873
2019-01-06,10062895.239070868
2019-01-07,8372089.171543344
2019-01-08,9464583.31525243
2019-01-09,8296161.262429329
2019-01-10,10736701.198236957
2019-01-11,9071059.80915865
2019-01-12,11105493.899647888
2019-01-13,11266027.193203233
2019-01-14,10676392.74471211
2019-01-15,11282080.522558767
2019-01-16,12058280.690587185
2019-01-17,12099932.572158301
2019-01-18,8970834.969128149
2019-01-19,7111685.880250693
2019-01-20,12169352.374776829
2019-01-21,12536409.581122298
2019-01-22,12604527.762441728
2019-01-23,12644444.14894738
2019-01-24,12362860.074575976
2019-01-25,12493022.204485716
2019-01-26,12979828.570348145
2019-01-27,9542246.719431907
2019-01-28,12668307.2060975
2019-01-29,9854201.957448918
2019-01-30,6672605.628688503
2019-01-31,11324600.151662616
2019-02-01,13862761.684902549
2019-02-02,10577469.525980707
2019-02-03,10183946.019886926
2019-02-04,13531716.001165442
2019-02-05,12660931.352069281
2019-02-06,7355089.063181908
2019-02-07,14181658.903181411
2019-02-08,10568358.176887026
2019-02-09,10282435.364851963
2019-02-10,8001994.848833316
2019-02-11,14787780.554794434
2019-02-12,9273244.984285112
2019-02-13,5940226.711063032
2019-02-14,5222165.627727633
2019-02-15,13297424.16732791
2019-02-16,16426521.770358063
2019-02-17,15253327.10610494
2019-02-18,8317421.076981253
2019-02-19,14486672.16093657
2019-02-20,13090032.507005058
2019-02-21,16262083.612905426
2019-02-22,12582400.200357072
2019-02-23,16839135.72217194
2019-02-24,13319985.603178933
2019-02-25,16476851.127256496
2019-02-26,8717018.815804156
2019-02-27,13004125.50126463
2019-02-28,17040453.14976567
2019-03-01,16167499.131837681
2019-03-02,15003849.690444604
2019-03-03,12523393.368131323
2019-03-04,17891713.47937537
2019-03-05,15564848.470355583
2019-03-06,19184657.303145457
2019-03-07,19314385.55928883
2019-03-08,16032130.51673155
2019-03-09,18889623.142016713
2019-03-10,18671818.51130108
2019-03-11,19899681.270116296
2019-03-12,20653320.00229369
2019-03-13,20379545.655716874
2019-03-14,20454605.817298155
2019-03-15,20648981.264630035
2019-03-16,20901061.922888562
2019-03-17,20374339.170520484
2019-03-18,17957662.291862972
2019-03-19,19379900.49801007
2019-03-20,13831088.899957845
2019-03-21,20717533.31971583
2019-03-22,21272457.866897687
2019-03-23,22610090.688603453
2019-03-24,22007440.027121354
2019-03-25,22002233.541924965
2019-03-26,21533216.000483535
2019-03-27,20380413.403249603
2019-03-28,12931668.582281541
2019-03-29,17904295.81859998
2019-03-30,23472197.862372298
2019-03-31,23486515.696662366
2019-04-01,23302553.21972327
2019-04-02,21962751.02918568
2019-04-03,23485214.07536327
2019-04-04,22226112.405369718
2019-04-05,23180200.817608114
2019-04-06,22146713.506124776
2019-04-07,22274272.39343632
2019-04-08,8850651.935844822
2019-04-09,4506273.913224062
2019-04-10,21504580.33190339
2019-04-11,15221654.321160236
2019-04-12,18171995.93244768
2019-04-13,17534635.369656317
2019-04-14,25547849.960666288
2019-04-15,24674462.068971932
2019-04-16,22564967.816901408
2019-04-17,24254906.1368962
2019-04-18,20068024.29146623
2019-04-19,10058122.627640843
2019-04-20,22448255.77374901
2019-04-21,14834205.047795575
2019-04-22,13938689.594016563
2019-04-23,9193846.08504017
2019-04-24,11546743.520041905
2019-04-25,15074137.240595864
2019-04-26,22653044.191473667
2019-04-27,8312214.591784864
2019-04-28,21107585.835678685
2019-04-29,25070154.943897538
2019-04-30,24695721.883523855
2019-05-01,26900234.490428485
2019-05-02,26965315.555383354
2019-05-03,25145215.105478823
2019-05-04,18122534.323081978
2019-05-05,19101353.540003225
2019-05-06,25835942.14153318
2019-05-07,24750389.978085946
2019-05-08,18242283.482598938
2019-05-09,25100526.107543148
2019-05-10,18092163.15943637
2019-05-11,24001957.73110494
2019-05-12,23111648.762522317
2019-05-13,23944686.393944655
2019-05-14,25475393.041683197
2019-05-15,23968115.577328406
2019-05-16,24287012.79560727
2019-05-17,24256641.631961666
2019-05-18,20377376.28688504
2019-05-19,24514362.649182953
2019-05-20,28479535.0
2019-05-21,27996633.498034865
2019-05-22,27838269.573311348
2019-05-23,27327166.276532434
2019-05-24,19440642.82530128
2019-05-25,23562443.605776384
2019-05-26,18755556.14820968
2019-05-27,24951707.405679677
2019-05-28,27418279.767469253
2019-05-29,26865090.715352856
2019-05-30,25514441.68065612
2019-05-31,27303303.219382316
2019-06-01,22738517.323447727
2019-06-02,26455947.753669906
2019-06-03,26953600.96369148
2019-06-04,22552385.4776768
2019-06-05,13482688.265566107
2019-06-06,22635255.367052667
2019-06-07,23818863.001698572
2019-06-08,26228597.900094226
2019-06-09,28158902.286655672
2019-06-10,26824306.581314474
2019-06-11,27358405.18771077
2019-06-12,24767744.928740576
2019-06-13,23308193.578686025
2019-06-14,25318330.73825878
2019-06-15,22473854.325964592
2019-06-16,23113384.257587783
2019-06-17,24944331.55165146
2019-06-18,26367003.63156492
2019-06-19,23848800.291577812
2019-06-20,15509746.502027128
2019-06-21,23686965.37672337
2019-06-22,25995173.813789427
2019-06-23,27358839.06147714
2019-06-24,26316674.274666484
2019-06-25,24580745.335436918
2019-06-26,25194676.714844525
2019-06-27,20894553.816393077
2019-06-28,4154836.162467763
2019-06-29,25634190.84017308
2019-06-30,27571437.20699638
2019-07-01,26836888.92053908
2019-07-02,26526235.30382117
2019-07-03,25497954.47753422
2019-07-04,21193926.71518548
2019-07-05,25628550.481210325
2019-07-06,10817835.59254736
2019-07-07,15752281.93742561
2019-07-08,19430663.728674866
2019-07-09,16068575.913106278
