time_val,tp
2019-01-01,0.0
2019-01-02,2.8234212589406393e-05
2019-01-03,0.0007231095557631156
2019-01-04,2.8234212589406393e-05
2019-01-05,0.0
2019-01-06,2.8234212589406393e-05
2019-01-07,2.8234212589406393e-05
2019-01-08,4.705702098234399e-06
2019-01-09,0.0003137134732160776
2019-01-10,0.0
2019-01-11,2.195994312509386e-05
2019-01-12,0.0
2019-01-13,1.8822808392937596e-05
2019-01-14,2.3528510491171994e-05
2019-01-15,0.0
2019-01-16,1.097997156254693e-05
2019-01-17,0.0
2019-01-18,3.607704941979706e-05
2019-01-19,5.4899857812734654e-05
2019-01-20,1.7254241026859463e-05
2019-01-21,9.411404196468798e-06
2019-01-22,0.0
2019-01-23,2.5097077857250127e-05
2019-01-24,7.52912335718059e-05
2019-01-25,2.8234212589406393e-05
2019-01-26,2.666564522332826e-05
2019-01-27,6.274269464312532e-06
2019-01-28,0.0
2019-01-29,2.5097077857250127e-05
2019-01-30,0.00484530459382277
2019-01-31,0.0016156243870629264
2019-02-01,2.5097077857250127e-05
2019-02-02,0.0
2019-02-03,0.0
2019-02-04,1.4117106294703197e-05
2019-02-05,4.705702098234399e-06
2019-02-06,7.529123357184059e-05
2019-02-07,0.00013646536084899186
2019-02-08,4.078275151803146e-05
2019-02-09,0.0004062589478148401
2019-02-10,0.011243490880065252
2019-02-11,6.274269464312532e-06
2019-02-12,0.0005537042802264136
2019-02-13,0.015891155985761962
2019-02-14,0.023914378063263964
2019-02-15,3.764561678587519e-05
2019-02-16,0.0
2019-02-17,0.0
2019-02-18,0.005850756275480401
2019-02-19,1.4117106294703197e-05
2019-02-20,2.039137575901573e-05
2019-02-21,1.4117106294703197e-05
2019-02-22,2.666564522332826e-05
2019-02-23,4.078275151803146e-05
2019-02-24,2.666564522332826e-05
2019-02-25,2.195994312509386e-05
2019-02-26,8.940833986655072e-05
2019-02-27,2.8234212589406393e-05
2019-02-28,0.0
2019-03-01,0.0
2019-03-02,0.0
2019-03-03,0.0
